Project,Bugs,Files,Contexts,FixContexts,BlockContexts,FixLocs,BlockLocs
collections,83,260,556,177,544,584,1799
lang,186,417,1134,356,1105,1078,3946
math,353,1185,2996,1095,2973,6055,21925
lucene,184,379,3190,987,3098,3496,11159
derby,962,2575,6098,2127,5963,9125,49337
ivy,285,567,2163,790,2137,2747,11686
opennlp,115,305,1288,322,1271,840,3760
groovy,1379,4908,6110,2731,5970,44517,186209
hama,64,177,1379,349,1369,669,3371
pdfbox,1112,2039,4852,1934,4759,10232,45569
mahout,268,1105,3393,1153,3374,4972,24708
camel,2642,10137,6640,2856,6574,31953,136153
pivot,26,34,488,121,486,285,1045
felix,1488,2800,7538,3148,7444,21207,76956
Total,9147,26888,17181,7722,16820,137760,577623
