Line,Score,FlashScore,FixFreq,BlockFreq
org.jfree.data.DefaultKeyedValues#335,1.0,2.2469209819699216,7330,13545
org.jfree.data.DefaultKeyedValues#319,1.0,2.1841785778927028,9199,17487
org.jfree.data.DefaultKeyedValues2D#456,1.0,1.5817342792584987,24,63
org.jfree.data.DefaultKeyedValues2D#458,1.0,1.1573947467381267,858,3078
org.jfree.data.DefaultKeyedValues2D#460,1.0,1.0299665074241389,32,129
org.jfree.data.category.DefaultCategoryDataset#350,1.0,0.990039508229131,1166,4890
org.jfree.data.DefaultKeyedValues#317,1.0,0.890803987273309,118,550
org.jfree.data.DefaultKeyedValues2D#455,1.0,0.8165124129854279,47,239
org.jfree.data.category.DefaultCategoryDataset#351,1.0,0.8076074623788387,1275,6555
org.jfree.data.DefaultKeyedValues#337,1.0,0.7773716682910036,683,3648
org.jfree.data.DefaultKeyedValues#318,1.0,0.7020262449633117,292,1727
org.jfree.data.DefaultKeyedValues2D#457,1.0,0.6871879135980559,784,4737
org.jfree.data.DefaultKeyedValues#334,1.0,0.660672502020472,253,1590
org.jfree.data.DefaultKeyedValues#316,1.0,0.5479736240354374,428,3243
org.jfree.data.DefaultKeyedValues#333,1.0,0.4210550203437191,655,6459
org.jfree.data.DefaultKeyedValues#302,0.983402489626556,1.1573947467381267,858,3078
org.jfree.data.DefaultKeyedValues#300,0.983402489626556,0.976953525424367,24,102
org.jfree.data.DefaultKeyedValues#299,0.983402489626556,0.8548343347463211,14,68
org.jfree.data.DefaultKeyedValues#301,0.983402489626556,0.6871879135980559,784,4737
org.jfree.data.DefaultKeyedValues#197,0.9367588932806323,2.1841785778927028,9199,17487
org.jfree.data.DefaultKeyedValues#234,0.8943396226415096,0.990039508229131,1166,4890
org.jfree.data.DefaultKeyedValues#209,0.8810408921933086,2.1841785778927028,9199,17487
org.jfree.data.DefaultKeyedValues#157,0.6353887399463807,0.529587457326225,976,7652
org.jfree.data.DefaultKeyedValues#238,0.5752427184466019,0.7419000904687432,860,4813
org.jfree.data.DefaultKeyedValues#232,0.5752427184466019,0.6936603193645565,210,1257
org.jfree.data.DefaultKeyedValues#240,0.5752427184466019,0.6569767563061025,1294,8178
org.jfree.data.DefaultKeyedValues#233,0.5752427184466019,0.5475329397715353,631,4785
org.jfree.data.DefaultKeyedValues#239,0.5752427184466019,0.5207239877820314,379,3022
org.jfree.data.DefaultKeyedValues#229,0.5752427184466019,0.4617529218821895,372,3345
org.jfree.data.DefaultKeyedValues#155,0.5738498789346247,2.2469209819699216,7330,13545
org.jfree.data.DefaultKeyedValues2D#323,0.5738498789346247,2.1018710804075753,3985,7872
org.jfree.data.DefaultKeyedValues#153,0.5738498789346247,0.867482393780833,234,1120
org.jfree.data.DefaultKeyedValues#154,0.5738498789346247,0.833428951566082,497,2476
org.jfree.data.DefaultKeyedValues#150,0.5738498789346247,0.4617529218821895,372,3345
org.jfree.data.DefaultKeyedValues#101,0.5616113744075829,1.08372714545937,889,3406
org.jfree.data.DefaultKeyedValues#99,0.5616113744075829,0.5243120994836125,420,3326
org.jfree.data.DefaultKeyedValues#100,0.5616113744075829,0.4746519486731594,206,1802
org.jfree.data.category.DefaultCategoryDataset#233,0.488659793814433,2.1841785778927028,9199,17487
org.jfree.data.DefaultKeyedValues2D#189,0.486652977412731,2.2469209819699216,7330,13545
org.jfree.data.DefaultKeyedValues2D#303,0.486652977412731,2.1841785778927028,9199,17487
org.jfree.data.DefaultKeyedValues2D#333,0.486652977412731,0.990039508229131,1166,4890
org.jfree.data.DefaultKeyedValues2D#334,0.486652977412731,0.8076074623788387,1275,6555
org.jfree.data.DefaultKeyedValues2D#341,0.4674556213017752,2.1841785778927028,9199,17487
org.jfree.data.DefaultKeyedValues2D#327,0.4674556213017752,1.2060389333178698,515,1773
org.jfree.data.DefaultKeyedValues2D#185,0.4674556213017752,0.9329941979882082,613,2728
org.jfree.data.DefaultKeyedValues2D#326,0.4674556213017752,0.862466784163699,339,1632
org.jfree.data.DefaultKeyedValues2D#337,0.4674556213017752,0.7125457809627399,133,775
org.jfree.data.DefaultKeyedValues2D#182,0.4674556213017752,0.6627173716337692,362,2268
org.jfree.data.DefaultKeyedValues2D#322,0.4674556213017752,0.547840258180678,190,1440
org.jfree.data.DefaultKeyedValues2D#320,0.4674556213017752,0.5080769970725755,430,3514
org.jfree.data.DefaultKeyedValues2D#340,0.4674556213017752,0.46561565263273014,496,4423
org.jfree.data.DefaultKeyedValues2D#339,0.4674556213017752,0.19065547116062262,27,588
org.jfree.data.DefaultKeyedValues2D#95,0.46019417475728147,2.475478445180984,220,369
org.jfree.data.DefaultKeyedValues2D#107,0.44299065420560746,1.08372714545937,889,3406
