Line,Score,FlashScore,FixFreq,BlockFreq
com.google.javascript.jscomp.parsing.JsDocInfoParser#1016,1.0,0.6,45,75
com.google.javascript.jscomp.parsing.JsDocInfoParser#1329,1.0,0.5660377358490566,30,53
com.google.javascript.jscomp.JSError#215,1.0,0.5411590992986341,7330,13545
com.google.javascript.rhino.JSDocInfo#597,1.0,0.5411590992986341,7330,13545
com.google.javascript.rhino.JSDocInfoBuilder#116,1.0,0.5411590992986341,7330,13545
com.google.javascript.rhino.Node#1323,1.0,0.5411590992986341,7330,13545
com.google.javascript.jscomp.parsing.JsDocInfoParser#252,1.0,0.5260479213129754,9199,17487
com.google.javascript.rhino.Node#742,1.0,0.506224593495935,3985,7872
com.google.javascript.rhino.JSDocInfoBuilder#189,1.0,0.40319258496395466,783,1942
com.google.javascript.jscomp.parsing.JsDocInfoParser#1328,1.0,0.2770012706480305,1962,7083
com.google.javascript.jscomp.parsing.JsDocInfoParser#1335,1.0,0.26455026455026454,50,189
com.google.javascript.jscomp.parsing.JsDocInfoParser#1325,1.0,0.2471042471042471,64,259
com.google.javascript.rhino.Node#915,1.0,0.23844580777096114,1166,4890
com.google.javascript.jscomp.parsing.JsDocInfoParser#1326,1.0,0.22448979591836735,22,98
com.google.javascript.jscomp.parsing.JsDocInfoParser#1327,1.0,0.2169397645972767,1880,8666
com.google.javascript.rhino.Node#916,1.0,0.1945080091533181,1275,6555
com.google.javascript.jscomp.parsing.JsDocInfoParser#1304,1.0,0.1746031746031746,11,63
com.google.javascript.jscomp.parsing.JsDocInfoParser#1309,1.0,0.16488845780795344,170,1031
com.google.javascript.jscomp.parsing.JsDocInfoParser#1308,1.0,0.15853658536585366,26,164
com.google.javascript.rhino.JSDocInfoBuilder#192,1.0,0.13870205417196874,763,5501
com.google.javascript.jscomp.parsing.JsDocInfoParser#1306,1.0,0.1164021164021164,22,189
com.google.javascript.rhino.JSDocInfo#596,1.0,0.10249601699415826,193,1883
com.google.javascript.jscomp.parsing.JsDocInfoParser#1298,1.0,0.09902597402597403,61,616
com.google.javascript.jscomp.parsing.JsDocInfoParser#1307,1.0,0.07216494845360824,14,194
com.google.javascript.jscomp.parsing.JsDocInfoParser#1302,1.0,0.07142857142857142,5,70
com.google.javascript.jscomp.parsing.JsDocInfoParser#1338,1.0,0.050761421319796954,220,4334
com.google.javascript.jscomp.parsing.JsDocInfoParser#1069,1.0,0.0,0,0
com.google.javascript.jscomp.parsing.JsDocInfoParser#1311,1.0,0.0,0,0
com.google.javascript.jscomp.parsing.JsDocInfoParser#1333,1.0,0.0,0,0
com.google.javascript.rhino.Node#221,1.0,0.0,0,0
com.google.javascript.jscomp.CheckSideEffects#94,0.9966914805624483,0.5411590992986341,7330,13545
com.google.javascript.rhino.Node#173,0.9950454170107349,0.6666666666666666,4,6
com.google.javascript.rhino.Node#985,0.9950454170107349,0.5956638902498775,4863,8164
com.google.javascript.rhino.Node#798,0.9950454170107349,0.5660377358490566,30,53
com.google.javascript.rhino.Node#865,0.9950454170107349,0.5411590992986341,7330,13545
com.google.javascript.rhino.Node#998,0.9950454170107349,0.5411590992986341,7330,13545
com.google.javascript.rhino.ScriptOrFnNode#54,0.9950454170107349,0.5411590992986341,7330,13545
com.google.javascript.rhino.ScriptOrFnNode#60,0.9950454170107349,0.5411590992986341,7330,13545
com.google.javascript.rhino.ScriptOrFnNode#62,0.9950454170107349,0.5411590992986341,7330,13545
com.google.javascript.rhino.ScriptOrFnNode#69,0.9950454170107349,0.5411590992986341,7330,13545
