Line,Score,FlashScore,FixFreq,BlockFreq
com.google.javascript.jscomp.parsing.JsDocInfoParser#1949,1.0,2.2469209819699216,7330,13545
com.google.javascript.jscomp.parsing.JsDocInfoParser#2404,0.9983625347961357,2.2469209819699216,7330,13545
com.google.javascript.jscomp.parsing.JsDocInfoParser#2399,0.9926733962878542,1.5888451148962373,2128,5561
com.google.javascript.jscomp.parsing.JsDocInfoParser#1908,0.984657622739018,2.2469209819699216,7330,13545
com.google.javascript.jscomp.parsing.JsDocInfoParser#2009,0.984657622739018,0.6627173716337692,362,2268
com.google.javascript.jscomp.parsing.JsDocInfoParser#2010,0.984657622739018,0.5432136718808706,446,3409
com.google.javascript.jscomp.parsing.JsDocInfoParser#2011,0.984657622739018,0.386788159067727,98,1052
com.google.javascript.jscomp.parsing.JsDocInfoParser#2012,0.984657622739018,0.33977006055017867,109,1332
com.google.javascript.jscomp.parsing.JsDocInfoParser#83,0.9822780731432253,2.1841785778927028,9199,17487
com.google.javascript.jscomp.parsing.JsDocInfoParser#2008,0.9756761081773084,0.7277007356378297,1050,5991
com.google.javascript.jscomp.parsing.JsDocInfoParser#2006,0.9756761081773084,0.42834428198949026,727,7047
com.google.javascript.jscomp.parsing.JsDocInfoParser#2005,0.9756761081773084,0.40888778418416727,1521,15445
com.google.javascript.jscomp.parsing.JsDocInfoParser#2007,0.9756761081773084,0.3838538355581945,382,4132
com.google.javascript.jscomp.parsing.JsDocInfoParser#2003,0.9717883328020401,0.5278032817440965,45,354
com.google.javascript.jscomp.parsing.JsDocInfoParser#2004,0.9717883328020401,0.5118407893310601,125,1014
com.google.javascript.jscomp.parsing.JsDocInfoParser#2001,0.9717883328020401,0.5064643995439324,106,869
com.google.javascript.jscomp.parsing.JsDocInfoParser#1997,0.9671637055837564,0.49879669431877893,145,1207
com.google.javascript.jscomp.parsing.JsDocInfoParser#1998,0.9671637055837564,0.31896562121471056,58,755
com.google.javascript.jscomp.parsing.JsDocInfoParser#1999,0.9671637055837564,0.29419623208801954,53,748
com.google.javascript.jscomp.parsing.JsDocInfoParser#2000,0.9671637055837564,0.1654518067250944,21,527
com.google.javascript.jscomp.parsing.JsDocInfoParser#1930,0.9668569616238503,1.5888451148962373,2128,5561
com.google.javascript.jscomp.parsing.JsDocInfoParser#1931,0.9668569616238503,1.4481560607714832,3018,8653
com.google.javascript.jscomp.parsing.JsDocInfoParser#1992,0.9668569616238503,0.48290556899496484,413,3551
com.google.javascript.jscomp.parsing.JsDocTokenStream#41,0.9321204708760128,2.475478445180984,220,369
com.google.javascript.rhino.jstype.SimpleSourceFile#57,0.9200241436547457,2.2469209819699216,7330,13545
com.google.javascript.rhino.jstype.SimpleSourceFile#52,0.9200241436547457,1.3275875965128336,894,2796
com.google.javascript.rhino.jstype.SimpleSourceFile#51,0.9200241436547457,0.8075579950304989,523,2689
com.google.javascript.rhino.jstype.JSTypeRegistry#187,0.9075617743376004,2.475478445180984,220,369
com.google.javascript.jscomp.parsing.ParserRunner#54,0.9075617743376004,2.2469209819699216,7330,13545
com.google.javascript.jscomp.parsing.JsDocInfoParser#2372,0.7076369545032498,2.2469209819699216,7330,13545
com.google.javascript.rhino.jstype.ObjectType#490,0.698956780923994,2.2469209819699216,7330,13545
com.google.javascript.rhino.jstype.PropertyMap#157,0.698956780923994,0.6174313633947649,178,1197
com.google.javascript.rhino.jstype.PropertyMap#156,0.698956780923994,0.5800354725069796,139,995
com.google.javascript.rhino.jstype.PropertyMap#158,0.698956780923994,0.5690630306723152,918,6698
com.google.javascript.rhino.jstype.PropertyMap#153,0.698956780923994,0.4704927196405489,257,2268
com.google.javascript.rhino.jstype.PropertyMap#152,0.698956780923994,0.416422238328425,787,7847
com.google.javascript.rhino.jstype.PropertyMap#177,0.6979965655409273,2.2144279909618985,8,15
com.google.javascript.rhino.jstype.PropertyMap#174,0.6979965655409273,2.185290780554505,10,19
com.google.javascript.rhino.jstype.PropertyMap#175,0.6979965655409273,2.1841785778927028,9199,17487
