Line,Score,FlashScore,FixFreq,BlockFreq
com.google.javascript.jscomp.CheckMissingReturn#170,0.16666666666666666,0.47170871481785853,743,6540
com.google.javascript.jscomp.RemoveUnusedVars#935,0.125,0.47170871481785853,743,6540
com.google.javascript.jscomp.CollapseVariableDeclarations#196,0.1111111111111111,2.2469209819699216,7330,13545
com.google.javascript.jscomp.PrintStreamErrorManager#71,0.09090909090909091,2.1841785778927028,9199,17487
com.google.javascript.jscomp.CheckMissingReturn#188,0.08333333333333333,1.7204486244009811,629,1518
com.google.javascript.jscomp.MustBeReachingVariableDef#284,0.08333333333333333,1.3840174943511865,1,3
com.google.javascript.jscomp.MustBeReachingVariableDef#288,0.08333333333333333,1.150123813603146,1962,7083
com.google.javascript.jscomp.CheckMissingReturn#190,0.08333333333333333,1.1464074112501863,624,2260
com.google.javascript.jscomp.CheckMissingReturn#166,0.08333333333333333,0.9020288691349981,398,1832
com.google.javascript.jscomp.MustBeReachingVariableDef#287,0.08333333333333333,0.9007452882691774,1880,8666
com.google.javascript.jscomp.CheckMissingReturn#160,0.08333333333333333,0.35113259882841785,194,2294
com.google.javascript.jscomp.CheckMissingReturn#162,0.08333333333333333,0.2726095064631125,91,1386
com.google.javascript.jscomp.ExploitAssigns#198,0.07692307692307693,0.5559233450113552,128,956
com.google.javascript.jscomp.CheckMissingReturn#179,0.07142857142857142,2.2469209819699216,7330,13545
com.google.javascript.jscomp.DefaultPassConfig#1114,0.07142857142857142,2.2469209819699216,7330,13545
com.google.javascript.jscomp.AbstractCommandLineRunner#202,0.07142857142857142,2.1841785778927028,9199,17487
com.google.javascript.jscomp.AbstractCommandLineRunner#1729,0.07142857142857142,2.1841785778927028,9199,17487
com.google.javascript.jscomp.DefaultPassConfig#1102,0.07142857142857142,2.1841785778927028,9199,17487
com.google.javascript.jscomp.AbstractCommandLineRunner#1721,0.07142857142857142,1.3275875965128336,894,2796
com.google.javascript.jscomp.CommandLineRunner#441,0.07142857142857142,0.990039508229131,1166,4890
com.google.javascript.jscomp.CommandLineRunner#442,0.07142857142857142,0.8076074623788387,1275,6555
com.google.javascript.jscomp.AbstractCommandLineRunner#1720,0.07142857142857142,0.8075579950304989,523,2689
com.google.javascript.jscomp.DiagnosticGroups#206,0.07142857142857142,0.6560000488423965,920,5823
com.google.javascript.jscomp.DiagnosticGroups#208,0.07142857142857142,0.6255076532483997,892,5921
com.google.javascript.jscomp.DiagnosticGroups#207,0.07142857142857142,0.589595281134392,308,2169
com.google.javascript.jscomp.CheckMissingReturn#156,0.07142857142857142,0.2897942767955553,174,2493
com.google.javascript.jscomp.DefaultPassConfig#1153,0.06896551724137931,2.2469209819699216,7330,13545
com.google.javascript.jscomp.DiagnosticGroups#63,0.06666666666666667,2.2469209819699216,7330,13545
com.google.javascript.jscomp.DefaultPassConfig#1160,0.06666666666666667,0.9720776230742453,516,2204
com.google.javascript.jscomp.DefaultPassConfig#1159,0.06666666666666667,0.895246062788694,417,1934
com.google.javascript.jscomp.CollapseVariableDeclarations#192,0.06666666666666667,0.3244759780186206,157,2009
