Line,Score,FlashScore,FixFreq,BlockFreq
org.apache.commons.lang3.RandomStringUtils#253,0.3333333333333333,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#163,0.25,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#234,0.25,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#247,0.25,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#248,0.25,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#250,0.25,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#252,0.25,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#225,0.2,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#227,0.2,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#230,0.2,0.0,0,0
org.apache.commons.lang3.RandomStringUtils#43,0.16666666666666666,0.0,0,0
