Line,Score,FlashScore,FixFreq,BlockFreq
org.apache.commons.lang3.StringEscapeUtils#506,0.5,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.AggregateTranslator#57,0.07142857142857142,0.45377622765612674,100,915
org.apache.commons.lang3.text.translate.AggregateTranslator#51,0.0625,1.7954821548339717,144,333
org.apache.commons.lang3.text.translate.AggregateTranslator#53,0.0625,1.150123813603146,1962,7083
org.apache.commons.lang3.text.translate.AggregateTranslator#52,0.0625,0.9007452882691774,1880,8666
org.apache.commons.lang3.text.translate.LookupTranslator#78,0.0625,0.5313256015465856,124,969
org.apache.commons.lang3.text.translate.LookupTranslator#70,0.058823529411764705,1.2069920008876627,50,172
org.apache.commons.lang3.text.translate.LookupTranslator#66,0.058823529411764705,1.1323779499236981,21,77
org.apache.commons.lang3.text.translate.LookupTranslator#72,0.058823529411764705,0.7314131706275594,727,4127
org.apache.commons.lang3.text.translate.LookupTranslator#73,0.058823529411764705,0.7277007356378297,1050,5991
org.apache.commons.lang3.text.translate.LookupTranslator#71,0.058823529411764705,0.5222136845679269,1669,13270
org.apache.commons.lang3.text.translate.LookupTranslator#65,0.058823529411764705,0.3027618111142987,395,5417
org.apache.commons.lang3.text.translate.EntityArrays#34,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#138,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#147,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#349,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#358,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#370,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#377,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#386,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#395,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.EntityArrays#408,0.047619047619047616,2.2469209819699216,7330,13545
org.apache.commons.lang3.text.translate.AggregateTranslator#41,0.047619047619047616,2.1018710804075753,3985,7872
org.apache.commons.lang3.ArrayUtils#317,0.047619047619047616,1.6740767735483715,783,1942
org.apache.commons.lang3.text.translate.EntityArrays#418,0.047619047619047616,1.4306697694416757,276,801
org.apache.commons.lang3.text.translate.EntityArrays#420,0.047619047619047616,1.3275875965128336,894,2796
org.apache.commons.lang3.text.translate.EntityArrays#417,0.047619047619047616,1.0814387708897935,193,741
org.apache.commons.lang3.text.translate.EntityArrays#422,0.047619047619047616,0.8501300070843172,388,1895
org.apache.commons.lang3.text.translate.EntityArrays#419,0.047619047619047616,0.8075579950304989,523,2689
