Line,Score,FlashScore,FixFreq,BlockFreq
org.apache.commons.lang3.time.FastDateFormat#1405,Infinity,2.4732277345773466,4863,8164
org.apache.commons.lang3.time.FastDateFormat#696,Infinity,2.2469209819699216,7330,13545
org.apache.commons.lang3.time.FastDateFormat#1408,Infinity,2.1841785778927028,9199,17487
org.apache.commons.lang3.time.FastDateFormat#556,Infinity,2.1018710804075753,3985,7872
org.apache.commons.lang3.time.FastDateFormat#1510,Infinity,1.7204486244009811,629,1518
org.apache.commons.lang3.time.FastDateFormat#1511,Infinity,1.1464074112501863,624,2260
org.apache.commons.lang3.time.FastDateFormat#1509,Infinity,1.0322782416431502,360,1448
org.apache.commons.lang3.time.FastDateFormat#1506,Infinity,0.5096080512399741,244,1988
org.apache.commons.lang3.time.FastDateFormat#493,Infinity,0.30275382688932206,7,96
org.apache.commons.lang3.time.FastDateFormat#1398,1.0,2.2469209819699216,7330,13545
org.apache.commons.lang3.time.FastDateFormat#1498,1.0,2.2469209819699216,7330,13545
org.apache.commons.lang3.time.FastDateFormat#1240,1.0,2.1841785778927028,9199,17487
org.apache.commons.lang3.time.FastDateFormat#558,1.0,2.1018710804075753,3985,7872
org.apache.commons.lang3.time.FastDateFormat#1487,1.0,2.1018710804075753,3985,7872
org.apache.commons.lang3.time.FastDateFormat#1391,1.0,1.08372714545937,889,3406
org.apache.commons.lang3.time.FastDateFormat#1490,1.0,1.0439446243106092,528,2100
org.apache.commons.lang3.time.FastDateFormat#1247,1.0,0.990039508229131,1166,4890
org.apache.commons.lang3.time.FastDateFormat#414,1.0,0.9674685397406353,72,309
org.apache.commons.lang3.time.FastDateFormat#411,1.0,0.9391881038642421,670,2962
org.apache.commons.lang3.time.FastDateFormat#1248,1.0,0.8076074623788387,1275,6555
org.apache.commons.lang3.time.FastDateFormat#410,1.0,0.7939583220751846,636,3326
org.apache.commons.lang3.time.FastDateFormat#419,1.0,0.529587457326225,976,7652
org.apache.commons.lang3.time.FastDateFormat#1388,1.0,0.5243120994836125,420,3326
org.apache.commons.lang3.time.FastDateFormat#409,1.0,0.5222136845679269,1669,13270
org.apache.commons.lang3.time.FastDateFormat#413,1.0,0.5064643995439324,106,869
org.apache.commons.lang3.time.FastDateFormat#415,1.0,0.47976940196092965,457,3955
org.apache.commons.lang3.time.FastDateFormat#1390,1.0,0.4746519486731594,206,1802
org.apache.commons.lang3.time.FastDateFormat#1485,1.0,0.30629895366788557,72,976
org.apache.commons.lang3.time.FastDateFormat#1489,1.0,0.28591978176716126,23,334
org.apache.commons.lang3.time.FastDateFormat#1486,1.0,0.24046636002240693,15,259
org.apache.commons.lang3.time.FastDateFormat#560,1.0,0.11533479119593221,1,36
org.apache.commons.lang3.time.FastDateFormat#1233,0.5,2.2469209819699216,7330,13545
org.apache.commons.lang3.time.FastDateFormat#1023,0.5,2.1841785778927028,9199,17487
org.apache.commons.lang3.time.FastDateFormat#498,0.5,2.1018710804075753,3985,7872
org.apache.commons.lang3.time.FastDateFormat#503,0.5,2.1018710804075753,3985,7872
org.apache.commons.lang3.time.FastDateFormat#1226,0.5,1.8509149623250807,333,747
org.apache.commons.lang3.time.FastDateFormat#1063,0.5,0.990039508229131,1166,4890
org.apache.commons.lang3.time.FastDateFormat#1064,0.5,0.8076074623788387,1275,6555
org.apache.commons.lang3.time.FastDateFormat#547,0.5,0.30275382688932206,7,96
org.apache.commons.lang3.time.FastDateFormat#500,0.5,0.11533479119593221,1,36
org.apache.commons.lang3.time.FastDateFormat#1062,0.5,0.0,0,1
org.apache.commons.lang3.time.FastDateFormat#1060,0.3333333333333333,2.4732277345773466,4863,8164
org.apache.commons.lang3.time.FastDateFormat#1103,0.3333333333333333,2.4732277345773466,4863,8164
org.apache.commons.lang3.time.FastDateFormat#1053,0.3333333333333333,2.1841785778927028,9199,17487
org.apache.commons.lang3.time.FastDateFormat#1096,0.3333333333333333,2.1841785778927028,9199,17487
org.apache.commons.lang3.time.FastDateFormat#1104,0.3333333333333333,2.1841785778927028,9199,17487
org.apache.commons.lang3.time.FastDateFormat#1154,0.3333333333333333,2.1841785778927028,9199,17487
org.apache.commons.lang3.time.FastDateFormat#1153,0.3333333333333333,0.9375602381088682,7,31
org.apache.commons.lang3.time.FastDateFormat#1156,0.3333333333333333,0.6290988610687211,10,66
org.apache.commons.lang3.time.FastDateFormat#1157,0.3333333333333333,0.543774046571534,612,4673
org.apache.commons.lang3.time.FastDateFormat#1089,0.25,2.2469209819699216,7330,13545
org.apache.commons.lang3.time.FastDateFormat#509,0.25,2.1018710804075753,3985,7872
org.apache.commons.lang3.time.FastDateFormat#1082,0.25,1.8509149623250807,333,747
org.apache.commons.lang3.time.FastDateFormat#511,0.25,0.11533479119593221,1,36
org.apache.commons.lang3.time.FastDateFormat#535,0.2,0.30275382688932206,7,96
