Line,Score,FlashScore,FixFreq,BlockFreq
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#41,1.0,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#42,1.0,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#44,1.0,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#82,0.5714285714285714,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#46,0.5,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#47,0.5,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#38,0.4444444444444444,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#40,0.4444444444444444,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#89,0.3076923076923077,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#54,0.2222222222222222,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#58,0.2222222222222222,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#59,0.2222222222222222,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#76,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#79,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#82,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#83,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#86,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#88,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#45,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#52,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#54,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#56,0.2,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#32,0.19047619047619047,0.0,0,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper#31,0.19047619047619047,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#60,0.05263157894736842,0.0,0,0
org.apache.commons.lang3.text.translate.CharSequenceTranslator#105,0.047619047619047616,0.0,0,0
