Line,Score,FlashScore,FixFreq,BlockFreq
org.apache.commons.lang.ClassUtils#170,0.7071067811865475,0.5411590992986341,7330,13545
org.apache.commons.lang.ClassUtils#230,0.7071067811865475,0.5411590992986341,7330,13545
org.apache.commons.lang.ClassUtils#229,0.5,0.40319258496395466,783,1942
org.apache.commons.lang.ClassUtils#232,0.5,0.13870205417196874,763,5501
org.apache.commons.lang.ClassUtils#201,0.2886751345948129,0.506224593495935,3985,7872
org.apache.commons.lang.ClassUtils#252,0.2886751345948129,0.20892857142857144,234,1120
org.apache.commons.lang.ClassUtils#253,0.2886751345948129,0.2007269789983845,497,2476
org.apache.commons.lang.ClassUtils#256,0.2886751345948129,0.12754835337166753,976,7652
org.apache.commons.lang.ClassUtils#245,0.2886751345948129,0.11121076233183856,372,3345
org.apache.commons.lang.ClassUtils#91,0.16012815380508713,0.5463483146067416,389,712
org.apache.commons.lang.ClassUtils#94,0.16012815380508713,0.5260479213129754,9199,17487
org.apache.commons.lang.ClassUtils#93,0.16012815380508713,0.2770012706480305,1962,7083
org.apache.commons.lang.ClassUtils#116,0.16012815380508713,0.23844580777096114,1166,4890
org.apache.commons.lang.ClassUtils#92,0.16012815380508713,0.2169397645972767,1880,8666
org.apache.commons.lang.ClassUtils#117,0.16012815380508713,0.1945080091533181,1275,6555
org.apache.commons.lang.ClassUtils#75,0.16012815380508713,0.17868273426137543,860,4813
org.apache.commons.lang.ClassUtils#124,0.16012815380508713,0.17868273426137543,860,4813
org.apache.commons.lang.ClassUtils#83,0.16012815380508713,0.1582293959403277,1294,8178
org.apache.commons.lang.ClassUtils#131,0.16012815380508713,0.1582293959403277,1294,8178
org.apache.commons.lang.ClassUtils#82,0.16012815380508713,0.06157596728530985,783,12716
org.apache.commons.lang.ClassUtils#130,0.16012815380508713,0.06157596728530985,783,12716
org.apache.commons.lang.ClassUtils#77,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#78,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#79,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#80,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#81,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#126,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#127,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#128,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#129,0.16012815380508713,0.05692980569298057,1588,27894
org.apache.commons.lang.ClassUtils#76,0.16012815380508713,0.04768962510897995,547,11470
org.apache.commons.lang.ClassUtils#125,0.16012815380508713,0.04768962510897995,547,11470
org.apache.commons.lang.ClassUtils#58,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#68,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#73,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#89,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#96,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#102,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#107,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#118,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#132,0.16012815380508713,0.0,0,0
org.apache.commons.lang.ClassUtils#169,0.1386750490563073,0.40319258496395466,783,1942
org.apache.commons.lang.ClassUtils#172,0.1386750490563073,0.13870205417196874,763,5501
org.apache.commons.lang.ClassUtils#200,0.12909944487358055,0.2261985145172181,670,2962
org.apache.commons.lang.ClassUtils#203,0.12909944487358055,0.12754835337166753,976,7652
org.apache.commons.lang.ClassUtils#184,0.12909944487358055,0.1189482470784641,285,2396
org.apache.commons.lang.ClassUtils#187,0.12909944487358055,0.11224489795918367,121,1078
org.apache.commons.lang.ClassUtils#199,0.12909944487358055,0.09671897289586305,339,3505
org.apache.commons.lang.ClassUtils#196,0.12909944487358055,0.08143861099627946,197,2419
org.apache.commons.lang.ClassUtils#197,0.12909944487358055,0.06967300705278906,326,4679
