Line,Score,FlashScore,FixFreq,BlockFreq
org.apache.commons.math3.dfp.Dfp#1617,Infinity,2.2469209819699216,7330,13545
org.apache.commons.math3.dfp.Dfp#1658,Infinity,2.1018710804075753,3985,7872
org.apache.commons.math3.dfp.Dfp#1621,Infinity,1.803416735063667,86,198
org.apache.commons.math3.dfp.Dfp#1526,Infinity,0.9897334407278833,41,172
org.apache.commons.math3.dfp.Dfp#1532,Infinity,0.9897334407278833,41,172
org.apache.commons.math3.dfp.Dfp#1541,Infinity,0.8431370942599181,53,261
org.apache.commons.math3.dfp.Dfp#1629,Infinity,0.8431370942599181,53,261
org.apache.commons.math3.dfp.Dfp#1639,Infinity,0.8431370942599181,53,261
org.apache.commons.math3.dfp.Dfp#1536,Infinity,0.8026792637275724,631,3264
org.apache.commons.math3.dfp.Dfp#1625,Infinity,0.8026792637275724,631,3264
org.apache.commons.math3.dfp.Dfp#1622,Infinity,0.7042151429873743,125,737
org.apache.commons.math3.dfp.Dfp#1620,Infinity,0.5790393126489787,170,1219
org.apache.commons.math3.dfp.Dfp#1616,Infinity,0.5240454590261775,364,2884
org.apache.commons.math3.dfp.Dfp#1527,Infinity,0.5103081264088173,110,895
org.apache.commons.math3.dfp.Dfp#1533,Infinity,0.5103081264088173,110,895
org.apache.commons.math3.dfp.Dfp#1542,Infinity,0.5103081264088173,110,895
org.apache.commons.math3.dfp.Dfp#1630,Infinity,0.5103081264088173,110,895
org.apache.commons.math3.dfp.Dfp#1640,Infinity,0.5103081264088173,110,895
org.apache.commons.math3.dfp.Dfp#1538,Infinity,0.43106034131940296,87,838
org.apache.commons.math3.dfp.Dfp#1626,Infinity,0.43106034131940296,87,838
org.apache.commons.math3.dfp.Dfp#1636,Infinity,0.43106034131940296,87,838
org.apache.commons.math3.dfp.Dfp#1539,Infinity,0.4281804123148983,33,320
org.apache.commons.math3.dfp.Dfp#1627,Infinity,0.4281804123148983,33,320
org.apache.commons.math3.dfp.Dfp#1637,Infinity,0.4281804123148983,33,320
org.apache.commons.math3.dfp.Dfp#1540,Infinity,0.39700900236368697,24,251
org.apache.commons.math3.dfp.Dfp#1628,Infinity,0.39700900236368697,24,251
org.apache.commons.math3.dfp.Dfp#1638,Infinity,0.39700900236368697,24,251
org.apache.commons.math3.dfp.Dfp#1525,Infinity,0.2976037617911222,124,1730
org.apache.commons.math3.dfp.Dfp#1531,Infinity,0.2976037617911222,124,1730
org.apache.commons.math3.dfp.Dfp#1530,Infinity,0.29593184725823324,230,3227
org.apache.commons.math3.dfp.Dfp#1524,Infinity,0.21812029412144185,337,6415
org.apache.commons.math3.dfp.Dfp#1511,1.0,2.2469209819699216,7330,13545
org.apache.commons.math3.dfp.Dfp#1515,1.0,2.2469209819699216,7330,13545
org.apache.commons.math3.dfp.Dfp#1520,1.0,0.9897334407278833,41,172
