Line,Score,FlashScore,FixFreq,BlockFreq
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#650,1.0,0.8333333333333334,5,6
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#730,1.0,0.7435549525101763,548,737
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#522,1.0,0.6666666666666666,10,15
org.apache.commons.math.exception.MathRuntimeException#102,1.0,0.5411590992986341,7330,13545
org.apache.commons.math.exception.MathRuntimeException#108,1.0,0.5411590992986341,7330,13545
org.apache.commons.math.exception.MathRuntimeException#114,1.0,0.5411590992986341,7330,13545
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#589,1.0,0.5411590992986341,7330,13545
org.apache.commons.math.util.FastMath#3831,1.0,0.5411590992986341,7330,13545
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#667,1.0,0.5260479213129754,9199,17487
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#527,1.0,0.506224593495935,3985,7872
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#542,1.0,0.506224593495935,3985,7872
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#602,1.0,0.506224593495935,3985,7872
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#614,1.0,0.506224593495935,3985,7872
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#616,1.0,0.506224593495935,3985,7872
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#653,1.0,0.506224593495935,3985,7872
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#734,1.0,0.506224593495935,3985,7872
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#742,1.0,0.506224593495935,3985,7872
org.apache.commons.math.analysis.function.Gaussian#183,1.0,0.4892772041302621,1848,3777
org.apache.commons.math.exception.NotStrictlyPositiveException#38,1.0,0.4457831325301205,333,747
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#523,1.0,0.4358974358974359,17,39
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#741,1.0,0.3917525773195876,38,97
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#561,1.0,0.3711340206185567,36,97
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#680,1.0,0.2770012706480305,1962,7083
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#703,1.0,0.2713178294573643,70,258
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#545,1.0,0.2703141928494041,499,1846
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#656,1.0,0.2703141928494041,499,1846
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#715,1.0,0.2703141928494041,499,1846
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#531,1.0,0.26643073811931245,527,1978
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#579,1.0,0.26643073811931245,527,1978
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#688,1.0,0.26643073811931245,527,1978
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#692,1.0,0.26643073811931245,527,1978
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#707,1.0,0.26643073811931245,527,1978
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#427,1.0,0.26100998238402817,889,3406
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer#420,1.0,0.2589073634204275,218,842
