Line,Score,FlashScore,FixFreq,BlockFreq
org.mockito.exceptions.base.MockitoException#34,Infinity,0.0,0,0
org.mockito.exceptions.base.MockitoException#35,Infinity,0.0,0,0
org.mockito.exceptions.base.MockitoException#36,Infinity,0.0,0,0
org.mockito.exceptions.base.MockitoException#39,Infinity,0.0,0,0
org.mockito.exceptions.base.MockitoException#41,Infinity,0.0,0,0
org.mockito.exceptions.base.MockitoException#42,Infinity,0.0,0,0
org.mockito.exceptions.base.MockitoException#43,Infinity,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#407,Infinity,0.0,0,0
org.mockito.internal.configuration.GlobalConfiguration#59,1.0,0.0,0,0
org.mockito.internal.handler.InvocationNotifierHandler#41,1.0,0.0,0,0
org.mockito.internal.handler.InvocationNotifierHandler#42,1.0,0.0,0,0
org.mockito.internal.handler.InvocationNotifierHandler#43,1.0,0.0,0,0
org.mockito.internal.handler.InvocationNotifierHandler#59,1.0,0.0,0,0
org.mockito.internal.handler.InvocationNotifierHandler#66,1.0,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#392,0.125,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#430,0.125,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#431,0.125,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#432,0.125,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#439,0.125,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#414,0.1111111111111111,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#451,0.1111111111111111,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#452,0.1111111111111111,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#453,0.1111111111111111,0.0,0,0
org.mockito.internal.creation.cglib.ClassImposterizer#106,0.1,0.0,0,0
org.mockito.internal.creation.cglib.ClassImposterizer#107,0.1,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#398,0.1,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#412,0.1,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#413,0.1,0.0,0,0
org.mockito.internal.util.reflection.GenericMetadataSupport#443,0.1,0.0,0,0
