Line,Score,FlashScore,FixFreq,BlockFreq
org.joda.time.DateTimeFieldType#378,1.0,2.2469209819699216,7330,13545
org.joda.time.IllegalFieldValueException#314,1.0,2.2469209819699216,7330,13545
org.joda.time.IllegalFieldValueException#53,1.0,2.1841785778927028,9199,17487
org.joda.time.field.FieldUtils#218,1.0,2.031504630310558,1848,3777
org.joda.time.IllegalFieldValueException#116,1.0,1.08372714545937,889,3406
org.joda.time.IllegalFieldValueException#59,1.0,0.9020288691349981,398,1832
org.joda.time.IllegalFieldValueException#109,1.0,0.6097898861250277,89,606
org.joda.time.IllegalFieldValueException#108,1.0,0.4724352038997112,123,1081
org.joda.time.IllegalFieldValueException#63,1.0,0.47170871481785853,743,6540
org.joda.time.IllegalFieldValueException#44,1.0,0.4702176387173906,153,1351
org.joda.time.IllegalFieldValueException#41,1.0,0.4427243981514403,769,7212
org.joda.time.IllegalFieldValueException#111,1.0,0.36346867370456865,803,9173
org.joda.time.IllegalFieldValueException#112,1.0,0.36346867370456865,803,9173
org.joda.time.IllegalFieldValueException#113,1.0,0.36346867370456865,803,9173
org.joda.time.IllegalFieldValueException#114,1.0,0.36346867370456865,803,9173
org.joda.time.IllegalFieldValueException#115,1.0,0.3317664405139683,367,4593
org.joda.time.IllegalFieldValueException#110,1.0,0.23388646746213654,206,3657
org.joda.time.IllegalFieldValueException#50,1.0,0.0,0,1
org.joda.time.format.DateTimeFormat#613,0.5,4.152052483053559,1,1
org.joda.time.MonthDay#408,0.5,2.4912314898321357,45,75
org.joda.time.MonthDay#334,0.5,2.475478445180984,220,369
org.joda.time.MonthDay#395,0.5,2.2469209819699216,7330,13545
org.joda.time.MonthDay#426,0.5,2.2469209819699216,7330,13545
org.joda.time.chrono.BasicGJChronology#129,0.5,2.2469209819699216,7330,13545
org.joda.time.chrono.BasicMonthOfYearDateTimeField#93,0.5,2.2469209819699216,7330,13545
org.joda.time.format.DateTimeFormat#170,0.5,2.2469209819699216,7330,13545
org.joda.time.format.DateTimeFormat#486,0.5,2.1841785778927028,9199,17487
org.joda.time.format.DateTimeFormat#551,0.5,2.1841785778927028,9199,17487
org.joda.time.format.DateTimeFormat#555,0.5,2.1841785778927028,9199,17487
org.joda.time.format.DateTimeFormat#616,0.5,2.1841785778927028,9199,17487
org.joda.time.MonthDay#352,0.5,1.8509149623250807,333,747
org.joda.time.format.DateTimeFormat#585,0.5,1.6146870767430508,14,36
org.joda.time.format.DateTimeFormat#598,0.5,1.6072461224723456,24,62
org.joda.time.format.DateTimeFormat#403,0.5,1.4649972413610963,199,564
org.joda.time.format.DateTimeFormat#588,0.5,1.3840174943511865,8,24
org.joda.time.format.DateTimeFormat#603,0.5,1.2060389333178698,515,1773
org.joda.time.format.DateTimeFormat#680,0.5,1.2060389333178698,515,1773
org.joda.time.chrono.BasicMonthOfYearDateTimeField#262,0.5,1.150123813603146,1962,7083
org.joda.time.format.DateTimeFormat#587,0.5,1.150123813603146,1962,7083
org.joda.time.format.DateTimeFormat#401,0.5,0.9821014069986171,101,427
org.joda.time.format.DateTimeFormat#600,0.5,0.9484383844538586,90,394
org.joda.time.format.DateTimeFormat#621,0.5,0.9033091279925682,57,262
org.joda.time.chrono.BasicMonthOfYearDateTimeField#260,0.5,0.9007452882691774,1880,8666
org.joda.time.format.DateTimeFormat#586,0.5,0.9007452882691774,1880,8666
org.joda.time.format.DateTimeFormat#583,0.5,0.8741163122218021,4,19
org.joda.time.format.DateTimeFormat#601,0.5,0.862466784163699,339,1632
org.joda.time.format.DateTimeFormat#679,0.5,0.862466784163699,339,1632
org.joda.time.chrono.BasicDayOfMonthDateTimeField#89,0.5,0.8501300070843172,388,1895
org.joda.time.format.DateTimeFormat#550,0.5,0.830410496610712,3,15
org.joda.time.format.DateTimeFormat#412,0.5,0.6920087471755932,2,12
org.joda.time.format.DateTimeFormat#589,0.5,0.6333639380929158,18,118
org.joda.time.format.DateTimeFormat#688,0.5,0.5931503547219371,14,98
org.joda.time.format.DateTimeFormat#685,0.5,0.5489242317821434,211,1596
org.joda.time.format.DateTimeFormat#405,0.5,0.548384290214621,14,106
org.joda.time.format.DateTimeFormat#682,0.5,0.5093595982928159,33,269
org.joda.time.format.DateTimeFormat#622,0.5,0.4457279211679434,92,857
org.joda.time.format.DateTimeFormat#574,0.5,0.40888778418416727,1521,15445
org.joda.time.format.DateTimeFormat#414,0.5,0.38623744028405205,4,43
org.joda.time.format.DateTimeFormat#683,0.5,0.37992637099836496,28,306
org.joda.time.format.DateTimeFormat#557,0.5,0.37745931664123267,6,66
org.joda.time.format.DateTimeFormat#576,0.5,0.36430225545459255,1027,11705
org.joda.time.format.DateTimeFormat#678,0.5,0.36104804200465734,2,23
org.joda.time.format.DateTimeFormat#404,0.5,0.346606120324471,48,575
org.joda.time.format.DateTimeFormat#681,0.5,0.3397657371708183,295,3605
org.joda.time.format.DateTimeFormat#579,0.5,0.3089899522272416,240,3225
org.joda.time.format.DateTimeFormat#400,0.5,0.2879243879277647,630,9085
org.joda.time.format.DateTimeFormat#577,0.5,0.27400309220819385,711,10774
