Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.jfree.chart.ChartColor#101,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#104,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#107,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#110,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#113,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#116,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#119,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#122,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#125,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#128,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#151,15,14,16,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#59,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#62,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#65,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#68,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#71,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#74,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#77,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#80,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#83,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#86,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#89,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#92,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#95,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartColor#98,-1,-1,-1,0.0064,0.5568,0.0798,0.0064
org.jfree.chart.ChartFactory#694,90,1882,4674,0.2500,0.9849,0.5000,0.3333
org.jfree.chart.ChartFactory#695,4674,6149,852,0.2500,0.9849,0.5000,0.3333
org.jfree.chart.ChartFactory#696,852,6145,3895,0.2500,0.9849,0.5000,0.3333
org.jfree.chart.ChartFactory#699,3895,3896,133,0.2500,0.9849,0.5000,0.3333
org.jfree.chart.ChartFactory#702,133,126,103,0.2500,0.9849,0.5000,0.3333
org.jfree.chart.JFreeChart#1136,325,1277,1279,0.0303,0.8596,0.1741,0.0313
org.jfree.chart.JFreeChart#1140,1279,1278,845,0.0303,0.8596,0.1741,0.0313
org.jfree.chart.JFreeChart#1146,845,933,929,0.0303,0.8596,0.1741,0.0313
org.jfree.chart.JFreeChart#1147,929,928,550,0.0303,0.8596,0.1741,0.0313
org.jfree.chart.JFreeChart#1149,550,5687,2725,0.0303,0.8596,0.1741,0.0313
