Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
com.google.javascript.jscomp.AbstractCompiler#172,15,14,16,0.0033,0.5779,0.0571,0.0033
com.google.javascript.jscomp.AbstractCompiler#237,115,116,117,0.0031,0.5670,0.0558,0.0031
com.google.javascript.jscomp.AbstractCompiler#238,-1,-1,-1,0.0031,0.5670,0.0558,0.0031
com.google.javascript.jscomp.AbstractCompiler#264,-1,-1,-1,0.0024,0.5006,0.0691,0.0048
com.google.javascript.jscomp.AbstractCompiler#265,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractCompiler#268,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractCompiler#273,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractCompiler#276,15,14,16,0.0033,0.5779,0.0571,0.0033
com.google.javascript.jscomp.AbstractCompiler#284,15,14,16,0.0033,0.5779,0.0571,0.0033
com.google.javascript.jscomp.AbstractCompiler#35,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractCompiler#36,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractCompiler#39,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractMessageFormatter#32,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractMessageFormatter#33,115,116,117,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractMessageFormatter#34,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractMessageFormatter#37,115,116,117,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractMessageFormatter#38,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AbstractMessageFormatter#47,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#23,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#26,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#34,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#42,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#47,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#48,115,116,117,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AnonymousFunctionNamingPolicy#49,-1,-1,-1,0.0024,0.5006,0.0489,0.0024
com.google.javascript.jscomp.AstValidator#100,-1,-1,88,0.0042,0.6407,0.0651,0.0043
com.google.javascript.jscomp.AstValidator#123,-1,-1,-1,0.0043,0.6466,0.0659,0.0044
com.google.javascript.jscomp.AstValidator#124,-1,-1,88,0.0043,0.6466,0.0659,0.0044
com.google.javascript.jscomp.AstValidator#153,1974,1952,1957,0.0038,0.6144,0.0615,0.0038
com.google.javascript.jscomp.AstValidator#229,-1,-1,-1,0.0057,0.7078,0.0758,0.0058
com.google.javascript.jscomp.AstValidator#230,-1,-1,88,0.0057,0.7078,0.0758,0.0058
com.google.javascript.jscomp.AstValidator#233,-1,-1,-1,0.0039,0.6198,0.0623,0.0039
com.google.javascript.jscomp.AstValidator#234,-1,-1,88,0.0039,0.6198,0.0623,0.0039
com.google.javascript.jscomp.AstValidator#257,-1,-1,-1,0.0045,0.6547,0.0671,0.0045
com.google.javascript.jscomp.AstValidator#258,-1,-1,88,0.0045,0.6547,0.0671,0.0045
com.google.javascript.jscomp.AstValidator#275,4140,4854,4855,0.0038,0.6153,0.0617,0.0038
com.google.javascript.jscomp.AstValidator#276,4855,4853,470,0.0038,0.6153,0.0617,0.0038
com.google.javascript.jscomp.AstValidator#277,128,120,122,0.0047,0.6640,0.0685,0.0047
com.google.javascript.jscomp.AstValidator#279,-1,-1,-1,0.0038,0.6153,0.0617,0.0038
com.google.javascript.jscomp.AstValidator#290,135,134,136,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#293,-1,-1,-1,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#296,208,1928,1930,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#297,1930,2683,686,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#298,686,697,487,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#299,487,482,95,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#300,-1,-1,-1,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#303,208,1928,1930,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#304,1930,3503,487,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#305,487,482,95,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#306,-1,-1,-1,0.0526,0.9588,0.2294,0.0556
com.google.javascript.jscomp.AstValidator#309,325,798,800,0.0038,0.6153,0.0617,0.0038
com.google.javascript.jscomp.AstValidator#310,800,799,420,0.0038,0.6153,0.0617,0.0038
com.google.javascript.jscomp.AstValidator#313,-1,-1,-1,0.0038,0.6153,0.0617,0.0038
com.google.javascript.jscomp.AstValidator#316,135,134,136,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#319,-1,-1,-1,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#322,208,1928,1930,0.0039,0.6198,0.0623,0.0039
com.google.javascript.jscomp.AstValidator#323,1930,3503,487,0.0039,0.6198,0.0623,0.0039
com.google.javascript.jscomp.AstValidator#324,487,482,95,0.0039,0.6198,0.0623,0.0039
com.google.javascript.jscomp.AstValidator#325,-1,-1,-1,0.0039,0.6198,0.0623,0.0039
com.google.javascript.jscomp.AstValidator#334,208,1928,1930,0.0042,0.6407,0.0651,0.0043
com.google.javascript.jscomp.AstValidator#335,1930,2683,686,0.0042,0.6407,0.0651,0.0043
com.google.javascript.jscomp.AstValidator#336,686,685,686,0.0042,0.6407,0.0651,0.0043
com.google.javascript.jscomp.AstValidator#337,686,697,487,0.0042,0.6407,0.0651,0.0043
com.google.javascript.jscomp.AstValidator#338,487,482,95,0.0042,0.6407,0.0651,0.0043
com.google.javascript.jscomp.AstValidator#339,-1,-1,-1,0.0042,0.6407,0.0651,0.0043
com.google.javascript.jscomp.AstValidator#350,4140,4854,4855,0.0038,0.6171,0.0619,0.0038
com.google.javascript.jscomp.AstValidator#351,4855,4853,470,0.0038,0.6171,0.0619,0.0038
com.google.javascript.jscomp.AstValidator#354,-1,-1,-1,0.0038,0.6171,0.0619,0.0038
com.google.javascript.jscomp.AstValidator#357,208,466,468,0.0045,0.6547,0.0671,0.0045
com.google.javascript.jscomp.AstValidator#358,468,467,463,0.0045,0.6547,0.0671,0.0045
com.google.javascript.jscomp.AstValidator#359,463,469,470,0.0045,0.6547,0.0671,0.0045
com.google.javascript.jscomp.AstValidator#360,128,120,122,0.0045,0.6547,0.0671,0.0045
com.google.javascript.jscomp.AstValidator#362,-1,-1,-1,0.0045,0.6547,0.0671,0.0045
com.google.javascript.jscomp.AstValidator#457,208,1928,1930,0.0043,0.6466,0.0659,0.0044
com.google.javascript.jscomp.AstValidator#458,1930,3503,487,0.0043,0.6466,0.0659,0.0044
com.google.javascript.jscomp.AstValidator#459,487,482,95,0.0043,0.6466,0.0659,0.0044
com.google.javascript.jscomp.AstValidator#46,-1,-1,-1,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#460,-1,-1,-1,0.0043,0.6466,0.0659,0.0044
com.google.javascript.jscomp.AstValidator#47,115,116,117,0.0038,0.6135,0.0869,0.0076
com.google.javascript.jscomp.AstValidator#54,-1,-1,-1,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#632,208,4101,4102,0.0057,0.7078,0.0758,0.0058
com.google.javascript.jscomp.AstValidator#633,4102,4098,4103,0.0057,0.7078,0.0758,0.0058
com.google.javascript.jscomp.AstValidator#636,128,120,122,0.0057,0.7078,0.0758,0.0058
com.google.javascript.jscomp.AstValidator#639,-1,-1,-1,0.0057,0.7078,0.0758,0.0058
com.google.javascript.jscomp.AstValidator#640,-1,-1,-1,0.0057,0.7078,0.0758,0.0058
com.google.javascript.jscomp.AstValidator#67,208,1928,1930,0.0048,0.6704,0.0695,0.0049
com.google.javascript.jscomp.AstValidator#68,1930,2683,686,0.0048,0.6704,0.0695,0.0049
com.google.javascript.jscomp.AstValidator#69,686,685,686,0.0048,0.6704,0.0695,0.0049
com.google.javascript.jscomp.AstValidator#70,686,697,487,0.0048,0.6704,0.0695,0.0049
com.google.javascript.jscomp.AstValidator#71,487,482,95,0.0048,0.6704,0.0695,0.0049
com.google.javascript.jscomp.AstValidator#72,-1,-1,-1,0.0048,0.6704,0.0695,0.0049
com.google.javascript.jscomp.AstValidator#75,208,466,468,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#750,135,134,136,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#755,-1,-1,-1,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#758,49,48,51,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#759,51,50,52,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#76,468,467,463,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#760,115,116,117,0.0038,0.6135,0.0614,0.0038
com.google.javascript.jscomp.AstValidator#761,-1,-1,11098,0.0038,0.6144,0.0615,0.0038
