ID,Context,FixFreq,BlockFreq
0,( ThrowStatement|None|None|None|None ),1553,1394
1,( None|None|ThrowStatement|None|None ),60,1202
2,( None|ThrowStatement|None|None|None ),235,1181
3,( Assignment|Assignment|None|MethodInvocation|None ),40,151
4,( MethodInvocation|VariableDeclarationStatement|Assignment|ForStatement|Assignment ),1,5
5,( Assignment|MethodInvocation|Assignment|VariableDeclarationStatement|None ),12,18
6,( VariableDeclarationStatement|ForStatement|MethodInvocation|None|Assignment ),1,1
7,( ForStatement|None|VariableDeclarationStatement|None|MethodInvocation ),4,3
8,( None|None|ForStatement|None|VariableDeclarationStatement ),1,21
9,( None|ForStatement|VariableDeclarationStatement|None|MethodInvocation ),0,3
10,( None|VariableDeclarationStatement|MethodInvocation|ForStatement|Assignment ),0,5
11,( None|MethodInvocation|Assignment|VariableDeclarationStatement|Assignment ),4,61
12,( None|Assignment|Assignment|MethodInvocation|None ),7,151
13,( None|Assignment|None|Assignment|None ),485,1804
14,( ReturnStatement|None|None|None|None ),5521,4774
15,( None|None|ReturnStatement|None|None ),635,4505
16,( None|ReturnStatement|None|None|None ),1174,4266
17,( WhileStatement|Assignment|Assignment|MethodInvocation|None ),1,1
18,( None|Assignment|None|WhileStatement|None ),2,21
19,( Assignment|None|Assignment|None|Assignment ),258,811
20,( None|None|Assignment|None|Assignment ),115,1704
21,( Assignment|Assignment|Assignment|None|Assignment ),184,461
22,( None|Assignment|Assignment|None|Assignment ),47,811
23,( Assignment|Assignment|Assignment|Assignment|VariableDeclarationStatement ),20,172
24,( None|Assignment|Assignment|Assignment|Assignment ),186,3405
25,( Assignment|Assignment|VariableDeclarationStatement|Assignment|MethodInvocation ),5,44
26,( None|Assignment|Assignment|Assignment|VariableDeclarationStatement ),6,294
27,( VariableDeclarationStatement|Assignment|MethodInvocation|Assignment|Assignment ),1,13
28,( None|Assignment|VariableDeclarationStatement|Assignment|MethodInvocation ),7,87
29,( MethodInvocation|VariableDeclarationStatement|Assignment|Assignment|WhileStatement ),0,1
30,( None|VariableDeclarationStatement|MethodInvocation|Assignment|Assignment ),3,29
31,( Assignment|MethodInvocation|WhileStatement|VariableDeclarationStatement|Assignment ),0,2
32,( None|MethodInvocation|Assignment|VariableDeclarationStatement|WhileStatement ),0,2
33,( None|Assignment|WhileStatement|MethodInvocation|Assignment ),1,4
34,( Assignment|WhileStatement|None|Assignment|None ),0,4
35,( None|WhileStatement|Assignment|Assignment|None ),0,4
36,( ContinueStatement|None|None|None|None ),19,21
37,( IfStatement|WhileStatement|None|VariableDeclarationStatement|None ),81,108
38,( VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement|None|ReturnStatement ),69,91
39,( IfStatement|IfStatement|None|VariableDeclarationStatement|None ),356,868
40,( IfStatement|None|VariableDeclarationStatement|None|WhileStatement ),12,21
41,( None|None|IfStatement|None|VariableDeclarationStatement ),108,2039
42,( VariableDeclarationStatement|IfStatement|WhileStatement|None|IfStatement ),3,5
43,( None|IfStatement|VariableDeclarationStatement|None|WhileStatement ),2,21
44,( WhileStatement|VariableDeclarationStatement|IfStatement|IfStatement|None ),0,5
45,( None|VariableDeclarationStatement|WhileStatement|IfStatement|IfStatement ),1,22
46,( None|WhileStatement|IfStatement|VariableDeclarationStatement|None ),15,108
