Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.lang3.time.FastDateFormat#165,15,14,16,0.0200,0.5407,0.1010,0.0204
org.apache.commons.lang3.time.FastDateFormat#368,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDateFormat#369,20,848,849,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDateFormat#370,849,833,13,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDateFormat#371,-1,-1,-1,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDateFormat#472,15,14,16,0.0455,0.7386,0.1543,0.0476
org.apache.commons.lang3.time.FastDateFormat#88,-1,-1,-1,0.0116,0.3993,0.1078,0.0235
org.apache.commons.lang3.time.FastDateFormat#91,15,14,16,0.0115,0.3993,0.0762,0.0116
org.apache.commons.lang3.time.FastDateParser#104,-1,-1,-1,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#105,20,19,22,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#106,22,3725,383,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#107,383,382,385,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#108,385,384,386,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#109,-1,-1,-1,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#116,20,766,768,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#118,768,1020,862,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#120,862,1021,1023,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#121,1023,1022,635,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#123,635,1024,870,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#124,870,1025,1027,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#128,1027,1026,1029,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#129,1029,1028,1031,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#131,325,1277,1279,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#132,1279,12099,5682,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#133,1044,280,1690,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#134,1690,1689,540,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#136,5682,12097,3936,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#137,3936,8399,1829,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#138,1829,5362,1901,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#141,1901,1900,80,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#142,80,67,13,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#143,-1,-1,-1,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#144,1019,1032,1034,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#145,128,120,122,0.0185,0.5160,0.1361,0.0377
org.apache.commons.lang3.time.FastDateParser#147,1034,1033,267,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#148,267,266,98,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#149,98,97,13,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#150,-1,-1,-1,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#180,15,14,16,0.5000,1.0000,0.7071,1.0000
org.apache.commons.lang3.time.FastDateParser#250,49,111,112,0.0476,0.7386,0.2182,0.1000
org.apache.commons.lang3.time.FastDateParser#251,112,110,114,0.0476,0.7386,0.2182,0.1000
org.apache.commons.lang3.time.FastDateParser#260,114,113,103,0.0500,0.7483,0.2236,0.1053
org.apache.commons.lang3.time.FastDateParser#276,55,342,344,0.0465,0.7338,0.2157,0.0976
org.apache.commons.lang3.time.FastDateParser#277,344,875,626,0.0465,0.7338,0.2157,0.0976
org.apache.commons.lang3.time.FastDateParser#278,626,876,839,0.0465,0.7338,0.2157,0.0976
org.apache.commons.lang3.time.FastDateParser#282,839,877,879,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#283,879,878,863,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#285,863,880,882,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#286,90,447,445,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#287,445,446,401,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#288,-1,-1,-1,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#289,882,881,884,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#290,884,883,88,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#304,580,579,578,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#305,1880,7664,7666,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#306,7666,7665,7668,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#331,7668,7667,1042,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#333,578,581,221,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#357,-1,-1,-1,0.0175,0.5000,0.1865,0.0714
org.apache.commons.lang3.time.FastDateParser#485,15,14,16,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#526,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#535,11718,11717,11720,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#537,-1,-1,-1,0.0370,0.6848,0.1925,0.0769
org.apache.commons.lang3.time.FastDateParser#538,115,116,117,0.0370,0.6848,0.1925,0.0769
org.apache.commons.lang3.time.FastDateParser#542,15,14,16,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#566,-1,-1,-1,0.0194,0.5280,0.1393,0.0396
org.apache.commons.lang3.time.FastDateParser#603,-1,-1,-1,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#604,115,116,117,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#605,-1,-1,-1,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#624,85,70,87,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#625,87,86,88,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#646,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#647,115,116,117,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#648,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#68,-1,-1,-1,0.0180,0.5090,0.1342,0.0367
org.apache.commons.lang3.time.FastDateParser#701,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#702,115,116,117,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#703,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#718,99,100,102,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#722,128,120,122,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#724,102,101,103,0.0177,0.5045,0.1330,0.0360
org.apache.commons.lang3.time.FastDateParser#732,128,120,122,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#733,-1,-1,-1,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#741,15,14,16,0.0488,0.7434,0.2209,0.1026
org.apache.commons.lang3.time.FastDateParser#745,-1,-1,-1,0.0175,0.5000,0.1865,0.0714
org.apache.commons.lang3.time.FastDateParser#76,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#79,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#833,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#834,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#835,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
org.apache.commons.lang3.time.FastDateParser#836,-1,-1,-1,0.0174,0.5000,0.1319,0.0354
