Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.apache.commons.math3.genetics.AbstractListChromosome#42,-1,-1,-1,0.1000,0.7188,0.3162,0.1111
org.apache.commons.math3.genetics.AbstractListChromosome#43,211,210,212,0.1000,0.7188,0.3162,0.1111
org.apache.commons.math3.genetics.AbstractListChromosome#44,212,205,213,0.1000,0.7188,0.3162,0.1111
org.apache.commons.math3.genetics.AbstractListChromosome#45,-1,-1,-1,0.1000,0.7188,0.3162,0.1111
org.apache.commons.math3.genetics.BinaryChromosome#39,65,64,66,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#40,-1,-1,-1,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#58,198,199,200,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#59,135,134,136,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#63,-1,-1,-1,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#64,-1,-1,-1,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#73,216,214,218,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#74,218,217,220,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#75,128,120,122,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.BinaryChromosome#77,220,219,221,0.1111,0.7419,0.3333,0.1250
org.apache.commons.math3.genetics.Chromosome#28,-1,-1,-1,0.0667,0.6216,0.2582,0.0714
org.apache.commons.math3.genetics.Chromosome#33,-1,-1,-1,0.0667,0.6216,0.2582,0.0714
org.apache.commons.math3.genetics.GeneticAlgorithm#104,15,14,16,0.0909,0.6970,0.3015,0.1000
org.apache.commons.math3.genetics.GeneticAlgorithm#40,-1,-1,-1,0.0909,0.6970,0.3015,0.1000
org.apache.commons.math3.genetics.ListPopulation#108,238,492,486,0.3333,0.9200,0.5774,0.5000
org.apache.commons.math3.genetics.ListPopulation#112,486,481,493,0.5000,0.9583,0.7071,1.0000
org.apache.commons.math3.genetics.ListPopulation#113,-1,-1,-1,0.5000,0.9583,0.7071,1.0000
org.apache.commons.math3.genetics.ListPopulation#209,15,14,16,0.5000,0.9583,0.7071,1.0000
org.apache.commons.math3.genetics.ListPopulation#52,196,195,197,0.0625,0.6053,0.2500,0.0667
org.apache.commons.math3.genetics.ListPopulation#53,-1,-1,-1,0.0667,0.6216,0.2582,0.0714
org.apache.commons.math3.genetics.ListPopulation#64,-1,-1,-1,0.0435,0.5111,0.2085,0.0455
org.apache.commons.math3.genetics.ListPopulation#65,76,596,598,0.0435,0.5111,0.2085,0.0455
org.apache.commons.math3.genetics.ListPopulation#68,598,1804,1744,0.0435,0.5111,0.2085,0.0455
org.apache.commons.math3.genetics.ListPopulation#71,1744,1743,79,0.0476,0.5349,0.2182,0.0500
org.apache.commons.math3.genetics.ListPopulation#75,79,6729,874,0.0500,0.5476,0.2236,0.0526
org.apache.commons.math3.genetics.ListPopulation#76,874,873,385,0.0500,0.5476,0.2236,0.0526
org.apache.commons.math3.genetics.ListPopulation#77,385,384,386,0.0500,0.5476,0.2236,0.0526
org.apache.commons.math3.genetics.ListPopulation#78,-1,-1,-1,0.0500,0.5476,0.2236,0.0526
org.apache.commons.math3.random.JDKRandomGenerator#28,-1,-1,-1,0.0909,0.6970,0.3015,0.1000
