Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.mockito.Answers#25,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#34,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#43,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#52,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#62,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#71,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#76,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#77,115,116,117,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#78,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Answers#81,15,14,16,0.0010,0.5095,0.0311,0.0010
org.mockito.Matchers#107,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Mockito#1003,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Mockito#1090,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Mockito#1124,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Mockito#1231,15,14,16,0.0213,0.9589,0.1459,0.0217
org.mockito.Mockito#1258,15,14,16,0.0010,0.5183,0.0316,0.0010
org.mockito.Mockito#2226,15,14,16,0.0010,0.5109,0.0312,0.0010
org.mockito.Mockito#947,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Mockito#958,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.Mockito#990,-1,-1,-1,0.0010,0.5095,0.0311,0.0010
org.mockito.configuration.DefaultMockitoConfiguration#20,-1,-1,-1,0.0009,0.5009,0.0306,0.0009
org.mockito.exceptions.Reporter#45,-1,-1,-1,0.0009,0.5023,0.0306,0.0009
org.mockito.exceptions.Reporter#760,1,0,2,0.3333,0.9981,0.5774,0.5000
org.mockito.exceptions.base.MockitoException#34,259,244,260,0.0051,0.8457,0.0712,0.0051
org.mockito.exceptions.base.MockitoException#35,260,245,251,0.0051,0.8457,0.0712,0.0051
org.mockito.exceptions.base.MockitoException#36,-1,-1,-1,0.0051,0.8457,0.0712,0.0051
org.mockito.exceptions.base.MockitoException#39,528,756,758,0.0049,0.8404,0.0698,0.0049
org.mockito.exceptions.base.MockitoException#41,758,955,400,0.0049,0.8404,0.0698,0.0049
org.mockito.exceptions.base.MockitoException#42,400,399,401,0.0049,0.8404,0.0698,0.0049
org.mockito.exceptions.base.MockitoException#43,-1,-1,-1,0.0049,0.8404,0.0698,0.0049
org.mockito.internal.MockitoCore#41,-1,-1,-1,0.0010,0.5088,0.0310,0.0010
org.mockito.internal.MockitoCore#43,-1,-1,-1,0.0010,0.5088,0.0310,0.0010
org.mockito.internal.MockitoCore#44,-1,-1,-1,0.0010,0.5088,0.0310,0.0010
org.mockito.internal.MockitoCore#45,-1,-1,-1,0.0010,0.5088,0.0310,0.0010
org.mockito.internal.MockitoCore#48,15,14,16,0.0294,0.9702,0.1715,0.0303
org.mockito.internal.MockitoCore#52,41,161,162,0.0010,0.5117,0.0312,0.0010
org.mockito.internal.MockitoCore#57,162,630,285,0.0010,0.5117,0.0312,0.0010
org.mockito.internal.MockitoCore#58,285,3047,1365,0.0010,0.5124,0.0313,0.0010
