Line,BeforeContext,DefaultContext,AfterContext,jaccard,tarantula,ochiai,dstar
org.joda.time.Chronology#63,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeField#33,-1,-1,-1,0.0112,0.6771,0.1060,0.0227
org.joda.time.DateTimeFieldType#100,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#103,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#106,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#110,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#113,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#116,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#119,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#122,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#125,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#128,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#131,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#134,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#137,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#140,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#153,106,271,272,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#154,272,270,273,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#155,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#164,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#173,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#182,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#191,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#200,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#209,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#218,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#227,15,14,16,0.0112,0.6771,0.1060,0.0227
org.joda.time.DateTimeFieldType#236,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#245,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#254,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#264,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#273,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#282,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#291,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#300,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#309,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#318,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#327,15,14,16,0.0112,0.6771,0.1060,0.0227
org.joda.time.DateTimeFieldType#336,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#345,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#354,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#363,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#378,15,14,16,1.0000,1.0000,1.0000,Infinity
org.joda.time.DateTimeFieldType#444,106,105,104,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#445,104,1382,1384,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#446,1384,1630,98,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#447,98,97,13,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#448,-1,-1,-1,0.0112,0.6758,0.1057,0.0226
org.joda.time.DateTimeFieldType#452,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#457,15,14,16,0.0113,0.6783,0.1063,0.0229
org.joda.time.DateTimeFieldType#480,6507,-1,-1,0.0690,0.9318,0.2626,0.1481
org.joda.time.DateTimeFieldType#482,-1,-1,11607,0.0690,0.9318,0.2626,0.1481
